Improvement action,Points achieved,Regulations,Group,Solutions,Assessments,Categories,Test status
Identify actions allowed without authentication,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Conduct exit interview upon termination,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Categorize information,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Assign and review position risk designations,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Document security strength requirements in acquisition contracts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize remote access,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document security functional requirements in acquisition contracts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Separate duties of individuals,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document security documentation requirements in acquisition contract,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document security assurance requirements in acquisition contracts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document acquisition contract acceptance criteria,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Assign risk designations,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Require approval for account creation,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Provide security training for new users,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Implement controls to secure all media,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Protect audit information,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Clear personnel with access to classified information,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish and document change control processes,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish a secure software development program,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish and maintain an asset inventory,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop information security policies and procedures,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document security and privacy training activities,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document the protection of cardholder data in third party contracts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Perform a risk assessment,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop acceptable use policies and procedures,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish voip usage restrictions,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize access to intune - valid authorization,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Establish procedures for initial authenticator distribution,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize access to intune - organizational attributes,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Retrieve security-related property,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize access to intune - intended system use,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Develop security safeguards,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Establish conditions for role membership,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Manage system and admin accounts,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Protect authenticators,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Implement physical security for offices and working areas,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Update security awareness training,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Provide information spillage training,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document the information system environment in acquisition contracts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Update rules of behavior and access agreements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Update interconnection security agreements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Reevaluate access upon personnel transfer,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Update information security policies,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Modify access authorizations upon personnel transfer,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Review and sign revised rules of behavior,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Provide security training before providing access,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Implement formal sanctions process,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop access control policies for ePHI,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Provide role-based security training,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document access privileges,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Document separation of duties,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Provide security awareness training,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Document wireless access guidelines,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Manage symmetric cryptographic keys,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Implement personnel screening,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Require users to sign access agreement,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define and enforce conditions for shared and group accounts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Review access control policies and procedures,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define information system account types,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Reissue authenticators for changed groups and accounts,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Document requirements for the use of shared data in contracts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Initiate transfer or reassignment actions,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Document protection of security information in acquisition contracts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Understand your responsibilities regarding dpias,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Establish procedures for the collection and processing of data belonging to children and adolescents,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Protect incident response plan,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish requirements for audit review and reporting,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Define and establish security and privacy attributes,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Document organizational access agreements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Update role-based security training,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Map authenticated identities to individuals,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Conduct incident response testing,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Employ least privilege access,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document third-party security requirements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Synchronize server clocks with nist ntp servers,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document remote access guidelines,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop audit and accountability policies and procedures,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop access control policies and procedures,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Confirm accuracy of collected personal data,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Restrict access to privileged accounts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Provide anti-malware training,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize wireless access,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Develop an incident response plan,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
"Authorize, monitor, and control voip",0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize access to Office 365 - valid authorization,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define access authorizations to support separation of duties,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Re-screen personnel at appropriate intervals,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize access to security functions and information,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize access to Office 365 - intended system use,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Assign account managers,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Perform a business impact assessment and application criticality assessment,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Control use of portable storage devices,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Control information flow,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Update organizational access agreements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Monitor privileged role assignment,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authorize access to Office 365 - organizational attributes,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enable Sensitivity Labels for SharePoint Online and OneDrive,0/9,Data Protection Baseline,Default Group,Microsoft Information Protection,Data Protection Baseline,Protect information,None
Require compliance with business continuity and disaster recovery requirements,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Maintain records of processing of personal data,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Protect authenticators commensurate with use,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Notify personnel upon sanctions,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Assess risk in third party relationships,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enforce password complexity,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Maintain incident response plan,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Disable access immediately upon termination,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Require third-party compliance with organizational requirements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Protect passwords with encryption,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Distribute policies and procedures,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Enforce logical access,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enforce confidentiality or non-disclosure agreement,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Implement password guidelines,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop and document a business continuity and disaster recovery plan,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Identify incident response personnel,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enforce security configuration settings,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enforce rules of behavior and access agreements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Automate information sharing decisions,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Incorporate Office 365 into change management processes,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Incorporate intune into change management processes,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Manage cryptographic keys,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Limit use of unencrypted static authenticators,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Use non-privileged accounts,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,Failed high risk
Verify identity before distributing authenticators,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Route traffic through managed network access points,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Restrict access to audit information,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Restrict access to private keys,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Configure workstations to check for digital certificates,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Construct certificate validation path for PKI-based authentication,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Use system clocks for audit records,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Issue public key certificates,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish network segmentation for card holder data environment,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Refresh authenticators,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Disable authenticators upon termination,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Prevent identifier re-use,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enforce user uniqueness,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Protect data in transit using encryption,0/9,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Develop risk assessment policies and procedures,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Satisfy token quality requirements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Authenticate to cryptographic module,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Protect wireless access,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Manage authenticator lifetime and reuse,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Assign system identifiers,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Automate account management,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Assess information security events,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Change vendor-supplied defaults,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Align business objectives and it goals,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Classify assets into risk-based categories,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define a physical key management process,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define and secure physical perimeters,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Facilitate reviews by regulatory bodies,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Establish requirements for internet service providers,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Secure content transfers,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Manage gateways,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Secure commitment from leadership,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define mobile device requirements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Implement a search process for entry and exit,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Implement an automated configuration management tool,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Manage nonlocal maintenance and diagnostic activities,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Secure the interface to external systems,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Define requirements for managing assets,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Define requirements for supplying goods and services,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Implement an enterprise architecture framework,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
